#Scan#	abs_DeltaMZ	Compound_Name	Precursor_MZ	Adduct	LibraryQualityString	SpectrumID	Suspect Name	suspect_index	cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	cluster_index_lib	ScanNumber_lib	Original_Path_lib
250283	14.015999999999998	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid -CH2	199971	199971.0	inputspectra/spec-00356.mzXML	137316.0	412.7	0.0	241.22	2753.0	spec/spec-00356.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BC3_01_932.mzXML	250283.0	2887.0	f.MSV000078556/spectrum/Human_Swabs/Woman/11m__BD4_01_1858.mzXML
250283	28.048000000000002	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid +C2H4	413052	413052.0	inputspectra/spec-00185.mzXML	253540.0	465.94599999999997	0.0	283.26	3330.0	spec/spec-00185.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/3m__BB3_01_1120.mzXML	250283.0	2887.0	f.MSV000078556/spectrum/Human_Swabs/Woman/11m__BD4_01_1858.mzXML
250283	28.035	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid -C2H4	138065	138065.0	inputspectra/spec-00553.mzXML	203348.0	391.398	0.0	227.202	2603.0	spec/spec-00553.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA7_01_912.mzXML	250283.0	2887.0	f.MSV000078556/spectrum/Human_Swabs/Woman/11m__BD4_01_1858.mzXML
250283	28.029	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid -C2H4	138898	138898.0	inputspectra/spec-00328.mzXML	27832.0	391.825	0.0	227.21200000000002	2595.0	spec/spec-00328.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/2m__BB7_01_1024.mzXML	250283.0	2887.0	f.MSV000078556/spectrum/Human_Swabs/Woman/11m__BD4_01_1858.mzXML
46165	28.031999999999996	Massbank:FIO00053 delta-Dodecalactone	199.17	[M+H]+	Bronze	CCMSLIB00000213680	Suspect related to Massbank:FIO00053 delta-Dodecalactone +C2H4	138023	138023.0	inputspectra/spec-00262.mzXML	136252.0	392.19199999999995	0.0	227.18900000000002	2602.0	spec/spec-00262.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA5_01_1211.mzXML	46165.0	2266.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC1_01_2254.mzXML
46165	28.031	Massbank:FIO00053 delta-Dodecalactone	199.17	[M+H]+	Bronze	CCMSLIB00000213680	Suspect related to Massbank:FIO00053 delta-Dodecalactone +C2H4	138039	138039.0	inputspectra/spec-00357.mzXML	119392.0	391.57099999999997	0.0	227.204	2602.0	spec/spec-00357.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB12_01_929.mzXML	46165.0	2266.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC1_01_2254.mzXML
46165	28.039	Massbank:FIO00053 delta-Dodecalactone	199.17	[M+H]+	Bronze	CCMSLIB00000213680	Suspect related to Massbank:FIO00053 delta-Dodecalactone +C2H4	138268	138268.0	inputspectra/spec-00952.mzXML	77204.0	392.223	0.0	227.19799999999998	2604.0	spec/spec-00952.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC11_01_2264.mzXML	46165.0	2266.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC1_01_2254.mzXML
46165	28.033	Massbank:FIO00053 delta-Dodecalactone	199.17	[M+H]+	Bronze	CCMSLIB00000213680	Suspect related to Massbank:FIO00053 delta-Dodecalactone +C2H4	138718	138718.0	inputspectra/spec-00882.mzXML	19996.0	390.22900000000004	0.0	227.202	2596.0	spec/spec-00882.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/13m__BB1_01_2035.mzXML	46165.0	2266.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC1_01_2254.mzXML
46165	28.037	Massbank:FIO00053 delta-Dodecalactone	199.17	[M+H]+	Bronze	CCMSLIB00000213680	Suspect related to Massbank:FIO00053 delta-Dodecalactone +C2H4	138808	138808.0	inputspectra/spec-00199.mzXML	69612.0	391.75199999999995	0.0	227.215	2601.0	spec/spec-00199.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BD10_01_951.mzXML	46165.0	2266.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC1_01_2254.mzXML
46232	28.031999999999996	3-Hydroxydodecanoic acid	199.169	M+H-H2O	Bronze	CCMSLIB00003186584	Suspect related to 3-Hydroxydodecanoic acid +C2H4	138023	138023.0	inputspectra/spec-00262.mzXML	136252.0	392.19199999999995	0.0	227.18900000000002	2602.0	spec/spec-00262.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA5_01_1211.mzXML	46232.0	2273.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
46232	28.028000000000002	3-Hydroxydodecanoic acid	199.169	M+H-H2O	Bronze	CCMSLIB00003186584	Suspect related to 3-Hydroxydodecanoic acid +C2H4	137896	137896.0	inputspectra/spec-00963.mzXML	153428.0	390.32599999999996	0.0	227.204	2588.0	spec/spec-00963.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BB11_01_2252.mzXML	46232.0	2273.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
46232	28.033	3-Hydroxydodecanoic acid	199.169	M+H-H2O	Bronze	CCMSLIB00003186584	Suspect related to 3-Hydroxydodecanoic acid +C2H4	138002	138002.0	inputspectra/spec-00673.mzXML	307880.0	390.06699999999995	0.0	227.203	2590.0	spec/spec-00673.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML	46232.0	2273.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
46232	28.033	3-Hydroxydodecanoic acid	199.169	M+H-H2O	Bronze	CCMSLIB00003186584	Suspect related to 3-Hydroxydodecanoic acid +C2H4	138552	138552.0	inputspectra/spec-00417.mzXML	145296.0	392.371	0.0	227.201	2609.0	spec/spec-00417.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA2_01_907.mzXML	46232.0	2273.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
46232	28.044	3-Hydroxydodecanoic acid	199.169	M+H-H2O	Bronze	CCMSLIB00003186584	Suspect related to 3-Hydroxydodecanoic acid +C2H4	138841	138841.0	inputspectra/spec-00097.mzXML	15516.0	391.30300000000005	0.0	227.222	2597.0	spec/spec-00097.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BG6_01_983.mzXML	46232.0	2273.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
247017	28.026	16-Hydroxyhexadecanoic acid	255.232	M+H-H2O	Bronze	CCMSLIB00003527360	Suspect related to 16-Hydroxyhexadecanoic acid -C2H4	138268	138268.0	inputspectra/spec-00952.mzXML	77204.0	392.223	0.0	227.19799999999998	2604.0	spec/spec-00952.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC11_01_2264.mzXML	247017.0	2886.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
247017	14.017999999999999	16-Hydroxyhexadecanoic acid	255.232	M+H-H2O	Bronze	CCMSLIB00003527360	Suspect related to 16-Hydroxyhexadecanoic acid -CH2	199454	199454.0	inputspectra/spec-00375.mzXML	241452.0	413.086	0.0	241.218	2753.0	spec/spec-00375.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB5_01_922.mzXML	247017.0	2886.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
247017	14.008	16-Hydroxyhexadecanoic acid	255.232	M+H-H2O	Bronze	CCMSLIB00003527360	Suspect related to 16-Hydroxyhexadecanoic acid -CH2	200256	200256.0	inputspectra/spec-00903.mzXML	68108.0	412.63699999999994	0.0	241.231	2747.0	spec/spec-00903.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/12m__BD2_01_1958.mzXML	247017.0	2886.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
247017	28.048000000000002	16-Hydroxyhexadecanoic acid	255.232	M+H-H2O	Bronze	CCMSLIB00003527360	Suspect related to 16-Hydroxyhexadecanoic acid +C2H4	413052	413052.0	inputspectra/spec-00185.mzXML	253540.0	465.94599999999997	0.0	283.26	3330.0	spec/spec-00185.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/3m__BB3_01_1120.mzXML	247017.0	2886.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
247017	28.024	16-Hydroxyhexadecanoic acid	255.232	M+H-H2O	Bronze	CCMSLIB00003527360	Suspect related to 16-Hydroxyhexadecanoic acid +C2H4	413086	413086.0	inputspectra/spec-00482.mzXML	271544.0	465.631	0.0	283.25	3131.0	spec/spec-00482.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BB7_01_1225.mzXML	247017.0	2886.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
247017	14.012	16-Hydroxyhexadecanoic acid	255.232	M+H-H2O	Bronze	CCMSLIB00003527360	Suspect related to 16-Hydroxyhexadecanoic acid +CH2	342003	342003.0	inputspectra/spec-00922.mzXML	56544.0	447.246	0.0	269.25	2993.0	spec/spec-00922.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA9_01_2238.mzXML	247017.0	2886.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
247017	14.02	16-Hydroxyhexadecanoic acid	255.232	M+H-H2O	Bronze	CCMSLIB00003527360	Suspect related to 16-Hydroxyhexadecanoic acid -CH2	199461	199461.0	inputspectra/spec-00865.mzXML	119720.0	412.527	0.0	241.21900000000002	2743.0	spec/spec-00865.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC4_01_2257.mzXML	247017.0	2886.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
247017	14.011	16-Hydroxyhexadecanoic acid	255.232	M+H-H2O	Bronze	CCMSLIB00003527360	Suspect related to 16-Hydroxyhexadecanoic acid -CH2	200089	200089.0	inputspectra/spec-00435.mzXML	27844.0	412.26099999999997	0.0	241.231	2745.0	spec/spec-00435.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BD7_01_948.mzXML	247017.0	2886.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
247657	28.03	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid -C2H4	138002	138002.0	inputspectra/spec-00673.mzXML	307880.0	390.06699999999995	0.0	227.203	2590.0	spec/spec-00673.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML	247657.0	2865.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA7_01_912.mzXML
247657	28.031	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid +C2H4	413378	413378.0	inputspectra/spec-00273.mzXML	229312.0	466.074	0.0	283.258	3314.0	spec/spec-00273.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/3m__BA4_01_1109.mzXML	247657.0	2865.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA7_01_912.mzXML
247657	28.031999999999996	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid +C2H4	413076	413076.0	inputspectra/spec-00498.mzXML	132692.0	465.955	0.0	283.263	3123.0	spec/spec-00498.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/5m__BB6_01_1324.mzXML	247657.0	2865.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA7_01_912.mzXML
247657	28.025	Hexadecenoic acid	255.233	M+H	Bronze	CCMSLIB00000075361	Suspect related to Hexadecenoic acid -C2H4	138582	138582.0	inputspectra/spec-00951.mzXML	40540.0	389.48	0.0	227.204	2584.0	spec/spec-00951.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BF1_01_2290.mzXML	247657.0	2865.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA7_01_912.mzXML
76146	14.015999999999998	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478803	Suspect related to Myristoleic acid +CH2	116810	116810.0	inputspectra/spec-00406.mzXML	97100.0	412.805	0.0	223.209	2754.0	spec/spec-00406.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML	76146.0	2584.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BD1_01_2266.mzXML
76146	15.966	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478803	Suspect related to Myristoleic acid +O	122436	122436.0	inputspectra/spec-00240.mzXML	47340.0	186.396	0.0	225.14700000000002	1330.0	spec/spec-00240.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/3m__BF3_01_1168.mzXML	76146.0	2584.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BD1_01_2266.mzXML
76146	28.038	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478803	Suspect related to Myristoleic acid +C2H4	174838	174838.0	inputspectra/spec-00743.mzXML	40768.0	430.73800000000006	0.0	237.22299999999998	2880.0	spec/spec-00743.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA1_01_2230.mzXML	76146.0	2584.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BD1_01_2266.mzXML
76147	28.035999999999998	2,4,7,9-Tetramethyl-5-decyne-4,7-diol	209.19	M+H-H2O	Bronze	CCMSLIB00003304570	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol +C2H4	174588	174588.0	inputspectra/spec-00913.mzXML	77032.0	431.642	0.0	237.225	2886.0	spec/spec-00913.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC9_01_2262.mzXML	76147.0	2602.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA3_01_908.mzXML
116779	14.020999999999999	Ethyl pentadecanoate	223.2	223.2	Bronze	CCMSLIB00003568840	Suspect related to Ethyl pentadecanoate +CH2	174588	174588.0	inputspectra/spec-00913.mzXML	77032.0	431.642	0.0	237.225	2886.0	spec/spec-00913.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC9_01_2262.mzXML	116779.0	2747.0	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML
116779	14.019	Ethyl pentadecanoate	223.2	223.2	Bronze	CCMSLIB00003568840	Suspect related to Ethyl pentadecanoate +CH2	174192	174192.0	inputspectra/spec-00370.mzXML	112068.0	428.439	0.0	237.22299999999998	2866.0	spec/spec-00370.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA12_01_917.mzXML	116779.0	2747.0	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML
116779	14.022	Ethyl pentadecanoate	223.2	223.2	Bronze	CCMSLIB00003568840	Suspect related to Ethyl pentadecanoate +CH2	174590	174590.0	inputspectra/spec-00370.mzXML	121560.0	429.56300000000005	0.0	237.22299999999998	2874.0	spec/spec-00370.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BA12_01_917.mzXML	116779.0	2747.0	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML
116779	14.02	Ethyl pentadecanoate	223.2	223.2	Bronze	CCMSLIB00003568840	Suspect related to Ethyl pentadecanoate +CH2	174753	174753.0	inputspectra/spec-00669.mzXML	84572.0	431.54900000000004	0.0	237.225	2879.0	spec/spec-00669.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BC5_01_2258.mzXML	116779.0	2747.0	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML
116779	14.013	Ethyl pentadecanoate	223.2	223.2	Bronze	CCMSLIB00003568840	Suspect related to Ethyl pentadecanoate -CH2	71239	71239.0	inputspectra/spec-00595.mzXML	92564.0	391.685	0.0	209.192	2602.0	spec/spec-00595.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA4_01_2233.mzXML	116779.0	2747.0	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML
116779	14.011	Ethyl pentadecanoate	223.2	223.2	Bronze	CCMSLIB00003568840	Suspect related to Ethyl pentadecanoate -CH2	76148	76148.0	inputspectra/spec-00673.mzXML	72548.0	390.17400000000004	0.0	209.192	2591.0	spec/spec-00673.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML	116779.0	2747.0	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML
116779	14.012	Ethyl pentadecanoate	223.2	223.2	Bronze	CCMSLIB00003568840	Suspect related to Ethyl pentadecanoate -CH2	76212	76212.0	inputspectra/spec-00406.mzXML	140108.0	391.469	0.0	209.19299999999998	2601.0	spec/spec-00406.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML	116779.0	2747.0	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML
116779	14.012	Ethyl pentadecanoate	223.2	223.2	Bronze	CCMSLIB00003568840	Suspect related to Ethyl pentadecanoate -CH2	76298	76298.0	inputspectra/spec-00379.mzXML	107748.0	391.76099999999997	0.0	209.192	2604.0	spec/spec-00379.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB2_01_919.mzXML	116779.0	2747.0	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML
76148	14.011	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478804	Suspect related to Myristoleic acid +CH2	116779	116779.0	inputspectra/spec-00446.mzXML	69600.0	412.226	0.0	223.19400000000002	2747.0	spec/spec-00446.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML	76148.0	2591.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
76148	14.015999999999998	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478804	Suspect related to Myristoleic acid +CH2	116845	116845.0	inputspectra/spec-00603.mzXML	24724.0	413.611	0.0	223.207	2757.0	spec/spec-00603.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/13m__BE5_01_2075.mzXML	76148.0	2591.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
76148	28.03	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478804	Suspect related to Myristoleic acid +C2H4	174237	174237.0	inputspectra/spec-00448.mzXML	172956.0	433.478	0.0	237.21099999999998	2877.0	spec/spec-00448.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BC3_01_1233.mzXML	76148.0	2591.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
76148	28.031	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478804	Suspect related to Myristoleic acid +C2H4	174500	174500.0	inputspectra/spec-00595.mzXML	77988.0	431.167	0.0	237.22299999999998	2881.0	spec/spec-00595.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA4_01_2233.mzXML	76148.0	2591.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA7_01_2236.mzXML
76212	14.012	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478804	Suspect related to Myristoleic acid +CH2	116779	116779.0	inputspectra/spec-00446.mzXML	69600.0	412.226	0.0	223.19400000000002	2747.0	spec/spec-00446.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BA10_01_1216.mzXML	76212.0	2601.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
76212	14.017000000000001	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478804	Suspect related to Myristoleic acid +CH2	116845	116845.0	inputspectra/spec-00603.mzXML	24724.0	413.611	0.0	223.207	2757.0	spec/spec-00603.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/13m__BE5_01_2075.mzXML	76212.0	2601.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
76212	28.031	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478804	Suspect related to Myristoleic acid +C2H4	174237	174237.0	inputspectra/spec-00448.mzXML	172956.0	433.478	0.0	237.21099999999998	2877.0	spec/spec-00448.mzXML	f.MSV000078556/spectrum/Human_Swabs/Man/4m__BC3_01_1233.mzXML	76212.0	2601.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
76212	28.031999999999996	Myristoleic acid	209.19	M+H-H2O	Bronze	CCMSLIB00003478804	Suspect related to Myristoleic acid +C2H4	174500	174500.0	inputspectra/spec-00595.mzXML	77988.0	431.167	0.0	237.22299999999998	2881.0	spec/spec-00595.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA4_01_2233.mzXML	76212.0	2601.0	f.MSV000078556/spectrum/Human_Swabs/Man/1m__BB11_01_928.mzXML
89142	14.017999999999999	Massbank:FIO00256 delta-Tridecalactone	213.185	[M+H]+	Bronze	CCMSLIB00000213944	Suspect related to Massbank:FIO00256 delta-Tridecalactone +CH2	133606	133606.0	inputspectra/spec-00802.mzXML	317976.0	389.962	0.0	227.204	2585.0	spec/spec-00802.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BD1_01_2266.mzXML	89142.0	2438.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA6_01_2235.mzXML
89142	14.02	Massbank:FIO00256 delta-Tridecalactone	213.185	[M+H]+	Bronze	CCMSLIB00000213944	Suspect related to Massbank:FIO00256 delta-Tridecalactone +CH2	138032	138032.0	inputspectra/spec-00736.mzXML	38904.0	392.31	0.0	227.202	2611.0	spec/spec-00736.mzXML	f.MSV000078556/spectrum/Human_Swabs/Woman/13m__BB8_01_2042.mzXML	89142.0	2438.0	f.MSV000078556/spectrum/Human_Swabs/Woman/m15__BA6_01_2235.mzXML
