cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path
6	inputspectra/spec-00013.mzXML	15814.2	277.353	0	137.63	522	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
7	inputspectra/spec-00013.mzXML	122156	51.4358	0	147.1	110	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
7	inputspectra/spec-00013.mzXML	21133.3	502.036	0	145.88	862	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
7	inputspectra/spec-00013.mzXML	128535	659.802	0	147.09	1123	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
11	inputspectra/spec-00015.mzXML	21817.9	353.818	0	156.12	542	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
11	inputspectra/spec-00015.mzXML	16489.4	433.41	0	156.04	652	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
11	inputspectra/spec-00015.mzXML	24836.4	574.638	0	156.22	822	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
11	inputspectra/spec-00015.mzXML	20863.6	601.373	0	155.95	863	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
11	inputspectra/spec-00022.mzXML	7461	471.451	0	156.14	398	spec/spec-00022.mzXML	f.MSV000078547/spectrum/DLab/112111_ES129_ltq_ltq.mzXML
12	inputspectra/spec-00006.mzXML	5104.75	367.962	0	157.21	74	spec/spec-00006.mzXML	f.MSV000078547/spectrum/DLab/112111_ES129_higherActQ_ltq_ltq.mzXML
12	inputspectra/spec-00006.mzXML	6081.74	396.422	0	157.19	80	spec/spec-00006.mzXML	f.MSV000078547/spectrum/DLab/112111_ES129_higherActQ_ltq_ltq.mzXML
12	inputspectra/spec-00022.mzXML	3956.81	76.5811	0	157.17	77	spec/spec-00022.mzXML	f.MSV000078547/spectrum/DLab/112111_ES129_ltq_ltq.mzXML
13	inputspectra/spec-00013.mzXML	10326	104.851	0	158.59	218	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
13	inputspectra/spec-00015.mzXML	11907	16.9042	0	157.52	32	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
14	inputspectra/spec-00002.mzXML	6332.73	115.598	0	163.16	113	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
14	inputspectra/spec-00015.mzXML	3881.98	400.239	0	163.9	608	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
14	inputspectra/spec-00015.mzXML	4274.62	671.879	0	162.65	986	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
14	inputspectra/spec-00015.mzXML	3802.68	678.413	0	162.83	997	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
15	inputspectra/spec-00002.mzXML	7865.36	81.2355	0	166.15	80	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
15	inputspectra/spec-00005.mzXML	42763.6	352.745	0	167.72	360	spec/spec-00005.mzXML	f.MSV000078547/spectrum/DLab/121115_nbut_3610_dd.mzXML
15	inputspectra/spec-00013.mzXML	287783	8.1033	0	166.58	16	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
15	inputspectra/spec-00013.mzXML	487761	34.4251	0	167.56	75	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
15	inputspectra/spec-00013.mzXML	502369	617.427	0	166.51	1036	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
15	inputspectra/spec-00015.mzXML	6741.6	116.874	0	166.73	214	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
15	inputspectra/spec-00015.mzXML	6291.08	124.137	0	166.86	227	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
15	inputspectra/spec-00015.mzXML	7514.14	790.632	0	168.03	1176	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
15	inputspectra/spec-00019.mzXML	52584.2	210.994	0	167.71	220	spec/spec-00019.mzXML	f.MSV000078547/spectrum/DLab/121115_nbut_PY79_dd.mzXML
15	inputspectra/spec-00019.mzXML	49143.8	220.528	0	167.71	228	spec/spec-00019.mzXML	f.MSV000078547/spectrum/DLab/121115_nbut_PY79_dd.mzXML
20	inputspectra/spec-00015.mzXML	6989.41	855.446	0	172.6	1267	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
20	inputspectra/spec-00022.mzXML	9048.89	264.474	0	172.22	228	spec/spec-00022.mzXML	f.MSV000078547/spectrum/DLab/112111_ES129_ltq_ltq.mzXML
20	inputspectra/spec-00022.mzXML	8995.64	543.214	0	172.23	450	spec/spec-00022.mzXML	f.MSV000078547/spectrum/DLab/112111_ES129_ltq_ltq.mzXML
21	inputspectra/spec-00002.mzXML	16327.5	17.9395	0	173.26	19	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
21	inputspectra/spec-00002.mzXML	16796.5	20.5528	0	173.11	22	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
21	inputspectra/spec-00002.mzXML	12324.9	326.903	0	173.14	308	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
21	inputspectra/spec-00002.mzXML	12309.9	330.868	0	173.17	312	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
22	inputspectra/spec-00013.mzXML	20520.6	35.2804	0	173.33	77	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
22	inputspectra/spec-00013.mzXML	18852.5	39.6474	0	173.34	86	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
22	inputspectra/spec-00013.mzXML	21735.1	47.4146	0	173.47	102	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
22	inputspectra/spec-00013.mzXML	20534.6	660.204	0	173.53	1124	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00006.mzXML	3305.57	485.694	0	175.54	97	spec/spec-00006.mzXML	f.MSV000078547/spectrum/DLab/112111_ES129_higherActQ_ltq_ltq.mzXML
24	inputspectra/spec-00006.mzXML	2716.14	569.687	0	175.7	114	spec/spec-00006.mzXML	f.MSV000078547/spectrum/DLab/112111_ES129_higherActQ_ltq_ltq.mzXML
24	inputspectra/spec-00013.mzXML	100458	5.2416	0	175.55	11	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00013.mzXML	100318	10.5122	0	175.58	22	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00013.mzXML	109938	15.7519	0	175.49	34	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00013.mzXML	111775	65.738	0	176.55	141	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00013.mzXML	123466	72.6233	0	176.52	155	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00013.mzXML	111785	75.1876	0	176.59	160	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00013.mzXML	102824	619.849	0	175.52	1042	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00013.mzXML	107967	625.704	0	175.5	1055	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00013.mzXML	105377	629.279	0	175.55	1062	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
24	inputspectra/spec-00015.mzXML	10289.4	51.8781	0	175.81	96	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
24	inputspectra/spec-00015.mzXML	10195.5	56.1786	0	175.96	104	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
24	inputspectra/spec-00015.mzXML	10584.2	61.4959	0	175.75	114	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
24	inputspectra/spec-00015.mzXML	5078.09	527.795	0	174.15	756	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
24	inputspectra/spec-00015.mzXML	5505.04	677.086	0	176.03	995	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
24	inputspectra/spec-00015.mzXML	5702.12	683.504	0	175.86	1005	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
24	inputspectra/spec-00015.mzXML	6001.53	691.872	0	176.24	1016	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
25	inputspectra/spec-00002.mzXML	13057.4	36.0682	0	177.03	37	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
25	inputspectra/spec-00002.mzXML	14412.8	41.1751	0	177.01	42	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
25	inputspectra/spec-00002.mzXML	17933	46.4372	0	175.14	47	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
25	inputspectra/spec-00002.mzXML	16498.8	87.9799	0	175.14	87	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
25	inputspectra/spec-00002.mzXML	5972.93	358.565	0	177.06	338	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
25	inputspectra/spec-00002.mzXML	6749.89	365.067	0	177.08	344	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
25	inputspectra/spec-00002.mzXML	11632.8	392.082	0	175.19	369	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
25	inputspectra/spec-00002.mzXML	11358.2	397.32	0	175.16	374	spec/spec-00002.mzXML	f.MSV000078547/spectrum/DLab/120228_nbut_3610_it_it_take2.mzXML
26	inputspectra/spec-00013.mzXML	11637.7	322.979	0	177.6	596	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
26	inputspectra/spec-00013.mzXML	11380.3	343.946	0	177.65	631	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
26	inputspectra/spec-00013.mzXML	7631.88	368.154	0	178.39	665	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
26	inputspectra/spec-00015.mzXML	7876.26	36.2227	0	177.74	67	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
26	inputspectra/spec-00015.mzXML	10584.2	63.0079	0	177.01	117	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
26	inputspectra/spec-00015.mzXML	10669	66.3455	0	177.51	123	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
26	inputspectra/spec-00015.mzXML	11592.5	75.2859	0	177.14	140	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
26	inputspectra/spec-00015.mzXML	5269.51	649.584	0	178.36	948	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
26	inputspectra/spec-00015.mzXML	5166.4	665.735	0	178.18	975	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
28	inputspectra/spec-00007.mzXML	181716	289.38	0	180.1	325	spec/spec-00007.mzXML	f.MSV000078547/spectrum/DLab/121119_VM37_FT-IT.mzXML
28	inputspectra/spec-00013.mzXML	19256.7	55.383	0	182.61	119	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
28	inputspectra/spec-00013.mzXML	21397.4	59.3118	0	182.47	127	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
28	inputspectra/spec-00013.mzXML	21026.5	64.4371	0	182.56	138	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
28	inputspectra/spec-00013.mzXML	2645.04	596.458	0	180.59	1004	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
28	inputspectra/spec-00013.mzXML	3286.09	609.683	0	180.65	1024	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
28	inputspectra/spec-00015.mzXML	3007.1	159.363	0	182.84	286	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
28	inputspectra/spec-00015.mzXML	3202.98	250.066	0	182.83	387	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
29	inputspectra/spec-00013.mzXML	7782.94	336.648	0	185.5	618	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
29	inputspectra/spec-00013.mzXML	6573.15	432.675	0	185.49	761	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
29	inputspectra/spec-00013.mzXML	9301.86	552.721	0	185.48	938	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
29	inputspectra/spec-00013.mzXML	8299.76	568.573	0	185.52	962	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
29	inputspectra/spec-00015.mzXML	8781.56	64.4058	0	185.77	120	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
29	inputspectra/spec-00015.mzXML	10034.7	67.3571	0	185.75	125	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
29	inputspectra/spec-00015.mzXML	10084.4	74.8354	0	185.75	139	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
29	inputspectra/spec-00015.mzXML	6381.58	684.428	0	185.8	1007	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
30	inputspectra/spec-00007.mzXML	441375	82.5894	0	186.223	112	spec/spec-00007.mzXML	f.MSV000078547/spectrum/DLab/121119_VM37_FT-IT.mzXML
30	inputspectra/spec-00007.mzXML	337231	87.8741	0	186.22	119	spec/spec-00007.mzXML	f.MSV000078547/spectrum/DLab/121119_VM37_FT-IT.mzXML
31	inputspectra/spec-00013.mzXML	11279	114.679	0	186.55	238	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
31	inputspectra/spec-00013.mzXML	15490	118.371	0	186.59	245	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
31	inputspectra/spec-00013.mzXML	12730.3	124.38	0	186.55	256	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
31	inputspectra/spec-00013.mzXML	11957	137.55	0	187.6	280	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
31	inputspectra/spec-00013.mzXML	8297.6	180.47	0	187.58	355	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
32	inputspectra/spec-00015.mzXML	14580.5	48.112	0	187.32	88	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
32	inputspectra/spec-00015.mzXML	9983.19	669.336	0	186.78	981	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
32	inputspectra/spec-00015.mzXML	7828.76	674.569	0	186.87	990	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
32	inputspectra/spec-00015.mzXML	17992.9	705.635	0	186.9	1038	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
32	inputspectra/spec-00015.mzXML	5874.01	714.218	0	186.8	1053	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	12740.6	50.5859	0	189.96	93	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	11846.4	55.3689	0	190.09	102	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	12988.3	60.1876	0	190.07	111	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	12519	157.06	0	188.43	282	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	17420.8	262.25	0	188.32	405	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	16282.5	296.911	0	188.58	458	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	12339.1	338.136	0	188.49	517	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	13767.9	346.969	0	188.41	530	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	6563.83	665.281	0	189.86	974	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	7649.6	672.399	0	189.63	987	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
33	inputspectra/spec-00015.mzXML	7769.49	675.733	0	190.04	992	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
34	inputspectra/spec-00013.mzXML	19563	60.6023	0	189.51	130	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
34	inputspectra/spec-00013.mzXML	16724.8	65.3082	0	189.58	140	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
34	inputspectra/spec-00013.mzXML	20851	69.2297	0	189.51	148	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
34	inputspectra/spec-00013.mzXML	19606.9	146.744	0	188.48	297	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
35	inputspectra/spec-00013.mzXML	15205.4	337.161	0	190.56	619	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
35	inputspectra/spec-00013.mzXML	17010.8	348.262	0	190.53	638	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
35	inputspectra/spec-00013.mzXML	13984.6	400.388	0	190.59	713	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
37	inputspectra/spec-00013.mzXML	28543.2	41.1253	0	191.66	89	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
37	inputspectra/spec-00013.mzXML	20229.7	69.6746	0	191.48	149	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
37	inputspectra/spec-00013.mzXML	16692.7	76.7538	0	191.61	163	spec/spec-00013.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_control_DD_MS2.mzXML
38	inputspectra/spec-00015.mzXML	20578.5	3.6836	0	192.33	6	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
38	inputspectra/spec-00015.mzXML	20716.2	9.853	0	192.32	18	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
38	inputspectra/spec-00015.mzXML	13742.6	21.008	0	192.48	39	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
38	inputspectra/spec-00015.mzXML	15417.5	623.505	0	192.49	898	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
38	inputspectra/spec-00015.mzXML	14643.3	629.702	0	192.41	910	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
38	inputspectra/spec-00015.mzXML	18488.9	635.499	0	192.45	921	spec/spec-00015.mzXML	f.MSV000078547/spectrum/DLab/121114_nanoDESI_polar_ISP2_SRM7_DD_MS2.mzXML
